participant,rt,accuracy,congruency_num,spacing_num
6427,0.504,1,1,1
837,0.665,1,1,1
3580,0.421,1,0,1
845,0.599,1,0,1
6262,0.5407,1,1,1
8755,0.4272,1,1,1
6253,0.432,1,0,1
6214,0.3316,1,0,1
6583,0.4322,1,0,1
8788,0.265099999,0,1,1
6214,0.4404,1,1,1
7624,0.427,1,1,1
1813,0.4385,1,1,1
6109,0.6326,1,1,1
3754,0.4589,1,1,1
3580,0.426,1,1,1
5761,0.4457,1,0,1
1507,0.5458,1,0,1
7939,0.434,1,1,1
1663,0.429,1,1,1
8704,0.502,1,0,1
1507,0.3645,1,0,1
1583,0.483,1,1,1
1582,0.3906,1,0,1
8446,0.4538,1,0,1
833,0.5051,1,0,1
6361,0.423,1,0,1
3754,0.7386,1,1,1
5575,0.4821,1,1,1
1663,0.419,1,0,1
3580,0.406,1,0,1
1597,0.966,0,1,1
833,0.5041,1,1,1
8755,0.5337,1,0,1
6262,0.4859,1,0,1
5761,0.4595,1,0,1
7924,0.4535,1,1,1
7624,0.421,1,0,1
7807,0.4854,1,0,1
7768,0.413,1,0,1
3487,0.5161,1,1,1
845,0.544,1,1,1
6844,0.602,1,1,1
5281,0.393,1,0,1
810,0.6282,1,0,1
6634,0.4005,1,0,1
1761,0.467,1,0,1
6361,0.533,1,1,1
8521,0.4158,1,1,1
1821,0.352099999,1,0,1
3292,0.488,1,1,1
8026,0.327,0,0,1
275,0.497,1,1,1
6055,0.449,1,1,1
1614,0.376,1,0,1
1601,0.5295,1,1,1
6529,0.354,1,0,1
5815,0.4735,1,1,1
6844,0.595,1,1,1
8521,0.5696,1,1,1
845,0.369,1,0,1
916,0.4251,1,1,1
3286,0.383,1,1,1
7768,0.4157,1,0,1
6634,0.4677,1,0,1
845,0.465,1,1,1
5815,0.7063,1,1,1
1430,0.355,1,0,1
985,0.379,1,1,1
7828,0.4844,1,1,1
1761,0.5209,1,0,1
6109,0.4652,0,1,1
6565,0.4331,1,1,1
1761,0.3842,1,0,1
1597,0.514,1,0,1
5815,0.5872,1,1,1
161753,0.427,1,0,1
1583,0.5216,1,0,1
6055,0.389,1,0,1
833,0.474,0,1,1
3754,0.4248,1,0,1
6109,0.3601,1,0,1
3580,0.506,1,0,1
5281,0.497,1,0,1
6361,0.452,1,0,1
8026,0.452,1,1,1
5803,0.537,1,0,1
1108,0.4368,1,1,1
6427,0.413,1,0,1
8755,0.3968,1,0,1
7828,0.6419,1,0,1
6253,0.499,1,0,1
3580,0.396,1,0,1
6262,0.5137,1,1,1
1813,0.4706,1,1,1
4222,0.3653,1,0,1
808,0.4739,1,0,1
1582,0.5581,1,1,1
1583,0.36640000000000006,1,0,1
1108,0.5388,1,1,1
8026,0.331,1,0,1
8446,0.3716,1,0,1
810,0.3715,1,0,1
1430,0.372,1,0,1
1583,0.5264,1,1,1
1507,0.4137,1,1,1
1768,0.462,1,1,1
1761,0.40070000000000006,1,1,1
1657,0.35050000000000003,1,0,1
8785,0.3618,1,0,1
1761,0.7002999999999999,1,1,1
8311,0.39,1,1,1
3910,0.5169,1,0,1
3286,0.362,1,0,1
5332,0.495,1,0,1
6634,0.3608,1,0,1
7939,0.399,1,0,1
8311,0.36,0,1,1
3988,0.5121,1,0,1
8311,0.521,1,0,1
7624,0.314,1,0,1
5815,0.6269,1,1,1
6427,0.499,1,0,1
845,0.384,0,0,1
3910,0.5698,1,0,1
1430,0.522,1,1,1
1761,0.4338999999999999,1,1,1
7768,0.2784,0,1,1
1813,0.3703,1,0,1
5575,0.3829,1,0,1
161753,0.399,1,1,1
1108,0.5252,1,1,1
6361,0.439,1,0,1
1761,0.5002,1,1,1
985,0.614,1,1,1
7924,0.4007,1,1,1
8704,0.72,1,1,1
275,0.629,1,0,1
3625,0.5327,1,1,1
8755,0.4433,1,0,1
5761,0.4418,1,1,1
3625,0.537,1,1,1
6109,0.453,1,0,1
5815,0.3695,0,1,1
1601,0.3123,1,1,1
5803,0.521,1,0,1
6214,0.409,1,1,1
1761,0.5878,1,0,1
8311,0.417,0,0,1
8446,0.3899,1,0,1
6214,0.3204,1,0,1
7939,0.383,1,0,1
8521,0.7176,1,0,1
5332,0.453,1,1,1
8521,0.4815,1,1,1
6634,0.4033,1,1,1
6565,0.4249,1,1,1
5731,0.445,1,0,1
6253,0.428,1,0,1
1582,0.5511,1,0,1
5815,0.6393,1,1,1
7828,0.4057,1,0,1
916,0.5052,1,0,1
8308,0.473,1,0,1
8311,0.506,1,1,1
8704,0.524,1,1,1
6109,0.3405,1,0,1
1597,0.412,1,0,1
275,0.346,1,1,1
6361,0.566,1,0,1
4222,0.4831,1,0,1
3487,0.31,0,1,1
6214,0.4977,1,1,1
1430,0.407,1,0,1
8308,0.487,1,1,1
8026,0.338,0,1,1
1583,0.4423,1,0,1
6109,0.3572,1,1,1
4264,0.5557,0,0,1
1657,0.5188,1,0,1
985,0.488,1,1,1
7939,0.394,1,1,1
6529,0.37,1,0,1
5761,0.4296,1,0,1
1657,0.404,1,0,1
7813,0.391,1,1,1
6262,0.4265,1,0,1
5803,0.382,1,0,1
6361,0.513,1,0,1
8446,0.3733,0,1,1
1768,0.388,1,1,1
8311,0.405,1,0,1
1597,0.491,1,1,1
4222,0.4392,1,1,1
8446,0.4205,1,0,1
808,0.4752,1,0,1
7840,0.849,1,0,1
5332,0.484,1,1,1
7924,0.4069,1,0,1
5332,0.616,1,1,1
5761,0.4768,1,0,1
837,0.33799999999999997,1,0,1
845,0.391,1,1,1
1657,0.4332,1,0,1
5281,0.378,1,1,1
3910,0.3767,1,0,1
833,0.3984,1,0,1
6262,0.4887,1,0,1
6427,0.434,1,0,1
1430,0.479,1,1,1
7828,0.3869,0,1,1
8446,0.4364,1,1,1
7756,0.4033,1,1,1
7807,0.4672,1,1,1
337788,0.423,1,0,1
6529,0.338,1,1,1
161753,0.408,1,1,1
7756,0.3873,1,0,1
8311,0.375,0,0,1
8704,0.533,1,0,1
5761,0.5182,1,1,1
1761,0.3676,1,1,1
7807,0.4274,0,1,1
6634,0.3732,1,1,1
1638,0.6181,1,1,1
1768,0.494,1,0,1
275,0.396,1,0,1
