participant,rt,accuracy,congruency_num,spacing_num,n_trial_experiment
1108,0.4535,1,1,1,60
1108,0.4314,1,1,1,61
1108,0.4243,1,0,1,62
1108,0.3877,1,1,1,63
1108,0.4887,1,1,1,65
1108,0.3948,1,1,1,66
1108,0.5443,1,1,1,67
1108,0.4843,1,1,1,70
1108,0.3908,1,0,1,71
1108,0.4848,1,1,1,72
1108,0.4457,0,1,1,73
1108,0.3972,1,0,1,78
1108,0.4736,1,0,1,79
1108,0.4542,1,1,1,83
1108,0.3853,1,0,1,84
1108,0.4605,1,1,1,85
1108,0.3578,1,0,1,87
1108,0.4145,1,0,1,89
1108,0.371,1,0,1,90
1108,0.3626,1,0,1,91
1108,0.4653,1,1,1,93
1108,0.4247,1,0,1,94
1108,0.4869,1,0,1,95
1108,0.4436,1,0,1,96
1108,0.4246,1,1,1,99
1108,0.3422,1,1,1,102
1108,0.3562,1,1,1,103
1108,0.3959,1,1,1,106
1108,0.376,1,1,1,108
1108,0.3371,0,1,1,110
1108,0.3396,1,0,1,111
1108,0.3839,1,1,1,112
1108,0.4244,1,0,1,113
1108,0.5111,1,0,1,116
1108,0.3939,0,1,1,117
1108,0.3719,0,1,1,118
1108,0.4481,1,0,1,119
1108,0.3827,1,0,1,120
1108,0.381,1,1,1,121
1108,0.4217,1,0,1,125
1108,0.3872,1,0,1,126
1108,0.3871,1,0,1,127
1108,0.5331,1,1,1,0
1108,0.3944,1,0,1,1
1108,0.4428,1,0,1,2
1108,0.4318,1,0,1,3
1108,0.4955,1,0,1,5
1108,0.3851,1,1,1,6
1108,0.3758,1,1,1,7
1108,0.373,1,1,1,8
1108,0.4372,1,1,1,9
1108,0.3923,1,0,1,10
1108,0.684,1,1,1,13
1108,0.3854,1,0,1,16
1108,0.3766,1,0,1,17
1108,0.491,1,0,1,18
1108,0.5014,1,0,1,19
1108,0.3953,1,0,1,20
1108,0.5236,1,1,1,21
1108,0.3597,1,1,1,22
1108,0.4603,0,0,1,23
1108,0.593,1,0,1,27
1108,0.4297,1,0,1,30
1108,0.4174,1,1,1,31
1108,0.5824,1,1,1,33
1108,0.4375,0,1,1,34
1108,0.3992,1,0,1,37
1108,0.4487,1,0,1,39
1108,0.5173,1,1,1,40
1108,0.5955,1,1,1,41
1108,0.4595,1,0,1,42
1108,0.5256,1,0,1,44
1108,0.6286,1,1,1,48
1108,0.5181,1,0,1,49
1108,0.4912,1,1,1,50
1108,0.3754,1,0,1,51
1108,0.4418,1,0,1,54
1108,0.5101,1,0,1,55
1108,0.3797,0,1,1,56
1108,0.4248,1,1,1,58
1108,0.3924,1,1,1,59
1108,0.3828,1,0,1,60
1108,0.5178,1,1,1,64
1108,0.5001,1,1,1,68
1108,0.566,1,1,1,69
1108,0.4536,1,1,1,70
1108,0.54,1,0,1,72
1108,0.4505,1,1,1,73
1108,0.5368,1,0,1,75
1108,0.4577,1,0,1,76
1108,0.4074,1,0,1,77
1108,0.4019,1,0,1,78
1108,0.3452,1,0,1,82
1108,0.3214,1,0,1,84
1108,0.3049,1,1,1,86
1108,0.4198,1,0,1,87
1108,0.3605,1,1,1,88
1108,0.3386,1,0,1,91
1108,0.4939,1,1,1,93
1108,0.3317,1,1,1,94
1108,0.4329,1,0,1,95
1108,0.4176,0,1,1,96
1108,0.5197,1,1,1,97
1108,0.5272,1,0,1,99
1108,0.5239,1,0,1,101
1108,0.5388,1,1,1,103
1108,0.5042,1,1,1,104
1108,0.4368,0,1,1,106
1108,0.5035,1,1,1,107
1108,0.4205,1,0,1,108
1108,0.6277,1,1,1,109
1108,0.3979,1,1,1,110
1108,0.5938,1,1,1,111
1108,0.6829,1,1,1,113
1108,0.6501,1,1,1,114
1108,0.7164,1,0,1,115
1108,0.5252,1,1,1,117
1108,0.4001,1,0,1,118
1108,0.3857,0,1,1,119
1108,0.4029,1,0,1,121
1108,0.4034,1,0,1,122
1108,0.6762,1,1,1,124
1108,0.4341,1,0,1,125
1108,0.4622,1,0,1,126
1430,0.634,1,0,1,0
1430,0.466,1,0,1,1
1430,0.752,1,1,1,2
1430,0.453,1,1,1,6
1430,0.416,1,0,1,8
1430,0.466,1,1,1,9
1430,0.539,1,1,1,10
1430,0.391,1,0,1,11
1430,0.609,1,1,1,12
1430,0.456,1,0,1,14
1430,0.45,1,0,1,16
1430,0.51,1,0,1,17
1430,0.386,1,0,1,18
1430,0.456,1,0,1,21
1430,0.583,1,1,1,23
1430,0.479,1,1,1,24
1430,0.402,1,0,1,25
1430,0.467,1,1,1,27
1430,0.387,1,0,1,28
1430,0.44,1,0,1,29
1430,0.35,1,0,1,30
1430,0.371,1,0,1,31
1430,0.669,1,1,1,33
1430,0.404,1,1,1,34
1430,0.335,1,0,1,35
1430,0.395,1,1,1,36
1430,0.489,1,1,1,38
1430,0.451,1,0,1,39
1430,0.582,1,1,1,41
1430,0.401,1,0,1,42
1430,0.505,1,1,1,43
1430,0.357,1,0,1,45
1430,0.387,1,0,1,47
1430,0.433,1,1,1,48
1430,0.369,1,0,1,49
1430,0.48,1,1,1,52
1430,0.364,0,0,1,53
1430,0.452,1,0,1,56
1430,0.391,1,1,1,61
1430,0.369,1,0,1,62
1430,0.493,1,0,1,64
1430,0.394,1,0,1,65
1430,0.852,1,1,1,66
1430,0.551,1,0,1,67
1430,0.441,1,1,1,68
1430,0.76,1,1,1,70
1430,0.486,1,1,1,71
1430,0.491,1,0,1,72
1430,0.373,0,1,1,74
1430,0.651,1,0,1,76
1430,0.488,1,0,1,77
1430,0.481,1,1,1,80
1430,0.507,1,1,1,83
1430,0.39,1,0,1,85
1430,0.466,1,0,1,86
1430,0.375,1,0,1,87
1430,0.344,1,0,1,89
1430,0.393,1,1,1,90
1430,0.451,1,0,1,92
1430,0.535,1,1,1,93
1430,0.47,1,1,1,94
1430,0.484,1,1,1,96
1430,0.445,1,0,1,99
1430,0.59,0,1,1,102
1430,0.675,1,1,1,103
1430,0.483,1,0,1,104
1430,0.386,1,0,1,107
1430,0.438,1,1,1,110
1430,0.401,1,1,1,112
1430,0.358,1,0,1,113
1430,0.384,1,1,1,114
1430,0.505,1,1,1,115
1430,0.37,1,0,1,116
1430,0.551,1,1,1,118
1430,0.421,1,1,1,119
1430,0.501,1,0,1,120
1430,0.634,1,1,1,121
1430,0.417,1,1,1,123
1430,0.461,1,1,1,126
1430,0.406,1,1,1,127
1430,0.589,1,1,1,1
1430,0.451,1,0,1,2
1430,0.481,1,0,1,3
1430,0.454,1,1,1,4
1430,0.372,1,0,1,6
1430,0.401,1,1,1,7
1430,0.472,1,0,1,10
1430,0.419,1,0,1,11
1430,0.563,1,1,1,12
1430,0.319,1,0,1,13
1430,0.339,1,0,1,14
