,participant,rt,accuracy,congruency_num,spacing_num
725,8311,0.369,1,0,1
726,8785,0.378,1,1,1
727,8308,0.548,1,0,1
729,985,0.346,1,0,1
730,7840,0.74,1,0,1
731,3910,0.3385,1,0,1
732,5575,0.4491,1,0,1
733,5575,0.3845,1,0,1
734,7828,0.4006,1,0,1
735,5803,0.569,1,0,1
736,161753,0.417,1,0,1
737,7807,0.3099,1,0,1
738,1582,0.5527,1,1,1
739,5332,0.424,1,1,1
740,7924,0.6037,1,0,1
741,3286,0.335,1,0,1
742,1108,0.5462,1,1,1
743,845,0.364,1,0,1
744,985,0.403,1,0,1
745,833,0.3785,1,0,1
746,8311,0.484,1,1,1
747,5281,0.454,1,0,1
748,8788,0.4846,1,1,1
749,8308,0.532,1,1,1
750,6055,0.539,1,1,1
751,6634,0.4326,1,0,1
752,161753,0.451,1,1,1
753,1663,0.378,1,1,1
755,337788,0.37,1,0,1
756,7756,0.3785,1,1,1
757,810,0.4367,1,0,1
758,1583,0.4570999999999999,1,0,1
759,1597,0.441,1,0,1
760,1768,0.416,1,0,1
761,5281,0.347,1,0,1
762,5575,0.4776,1,1,1
763,7828,0.3988,1,0,1
764,1614,0.358,1,1,1
765,1761,0.4012,1,1,1
766,1761,0.538,1,1,1
767,1663,0.48,1,0,1
768,5815,0.3895,1,0,1
769,7813,0.525,1,1,1
770,833,0.4148,0,0,1
771,6361,0.419,1,0,1
772,6055,0.463,1,0,1
773,7624,0.514,1,1,1
774,275,0.521,1,0,1
775,161753,0.419,1,0,1
776,275,0.531,1,0,1
777,3292,0.4577,1,0,1
778,8446,0.3212,1,0,1
779,7624,0.323,0,1,1
780,6214,0.3741,0,0,1
781,845,0.454,1,1,1
782,3487,0.3554,1,1,1
783,1507,0.6167,1,1,1
784,7813,0.375,1,1,1
785,808,0.3821,1,0,1
786,6253,0.362,1,0,1
787,3625,0.6243,1,1,1
788,6361,0.489,0,1,1
789,7939,0.42,1,0,1
790,8308,0.813,1,0,1
791,1821,0.3895,1,0,1
792,7624,0.416,1,1,1
793,5761,0.3943,1,0,1
794,810,0.4067,0,1,1
795,7840,0.464,1,0,1
796,3292,0.3565,0,0,1
797,985,0.369,1,0,1
799,5575,0.4404,1,1,1
800,1582,0.6337,1,0,1
801,1597,0.724,1,0,1
802,1657,0.3843,1,0,1
803,6427,0.504,1,1,1
804,837,0.665,1,1,1
805,3580,0.421,1,0,1
806,845,0.599,1,0,1
807,6262,0.5407,1,1,1
808,8755,0.4272,1,1,1
809,6253,0.432,1,0,1
810,6214,0.3316,1,0,1
811,6583,0.4322,1,0,1
812,8788,0.265099999,0,1,1
813,6214,0.4404,1,1,1
814,7624,0.427,1,1,1
815,1813,0.4385,1,1,1
816,6109,0.6326,1,1,1
817,3754,0.4589,1,1,1
818,3580,0.426,1,1,1
819,5761,0.4457,1,0,1
820,1507,0.5458,1,0,1
821,7939,0.434,1,1,1
822,1663,0.429,1,1,1
823,8704,0.502,1,0,1
824,1507,0.3645,1,0,1
825,1583,0.483,1,1,1
826,1582,0.3906,1,0,1
827,8446,0.4538,1,0,1
828,833,0.5051,1,0,1
829,6361,0.423,1,0,1
830,3754,0.7386,1,1,1
831,5575,0.4821,1,1,1
832,1663,0.419,1,0,1
833,3580,0.406,1,0,1
834,1597,0.966,0,1,1
835,833,0.5041,1,1,1
836,8755,0.5337,1,0,1
837,6262,0.4859,1,0,1
838,5761,0.4595,1,0,1
839,7924,0.4535,1,1,1
840,7624,0.421,1,0,1
841,7807,0.4854,1,0,1
842,7768,0.413,1,0,1
843,3487,0.5161,1,1,1
844,845,0.544,1,1,1
845,6844,0.602,1,1,1
846,5281,0.393,1,0,1
847,810,0.6282,1,0,1
848,6634,0.4005,1,0,1
849,1761,0.467,1,0,1
850,6361,0.533,1,1,1
851,8521,0.4158,1,1,1
852,1821,0.352099999,1,0,1
853,3292,0.488,1,1,1
854,8026,0.327,0,0,1
855,275,0.497,1,1,1
856,6055,0.449,1,1,1
857,1614,0.376,1,0,1
858,1601,0.5295,1,1,1
860,5815,0.4735,1,1,1
861,6844,0.595,1,1,1
862,8521,0.5696,1,1,1
863,845,0.369,1,0,1
864,916,0.4251,1,1,1
865,3286,0.383,1,1,1
866,7768,0.4157,1,0,1
867,6634,0.4677,1,0,1
868,845,0.465,1,1,1
869,5815,0.7063,1,1,1
870,1430,0.355,1,0,1
871,985,0.379,1,1,1
872,7828,0.4844,1,1,1
873,1761,0.5209,1,0,1
874,6109,0.4652,0,1,1
876,1761,0.3842,1,0,1
877,1597,0.514,1,0,1
878,5815,0.5872,1,1,1
879,161753,0.427,1,0,1
880,1583,0.5216,1,0,1
881,6055,0.389,1,0,1
882,833,0.474,0,1,1
883,3754,0.4248,1,0,1
884,6109,0.3601,1,0,1
885,3580,0.506,1,0,1
886,5281,0.497,1,0,1
887,6361,0.452,1,0,1
888,8026,0.452,1,1,1
889,5803,0.537,1,0,1
890,1108,0.4368,1,1,1
891,6427,0.413,1,0,1
892,8755,0.3968,1,0,1
893,7828,0.6419,1,0,1
894,6253,0.499,1,0,1
895,3580,0.396,1,0,1
896,6262,0.5137,1,1,1
897,1813,0.4706,1,1,1
898,4222,0.3653,1,0,1
899,808,0.4739,1,0,1
900,1582,0.5581,1,1,1
901,1583,0.3664,1,0,1
902,1108,0.5388,1,1,1
903,8026,0.331,1,0,1
904,8446,0.3716,1,0,1
905,810,0.3715,1,0,1
906,1430,0.372,1,0,1
907,1583,0.5264,1,1,1
908,1507,0.4137,1,1,1
909,1768,0.462,1,1,1
910,1761,0.4007,1,1,1
911,1657,0.3505,1,0,1
912,8785,0.3618,1,0,1
913,1761,0.7002999999999999,1,1,1
914,8311,0.39,1,1,1
915,3910,0.5169,1,0,1
916,3286,0.362,1,0,1
917,5332,0.495,1,0,1
918,6634,0.3608,1,0,1
919,7939,0.399,1,0,1
920,8311,0.36,0,1,1
921,3988,0.5121,1,0,1
922,8311,0.521,1,0,1
923,7624,0.314,1,0,1
924,5815,0.6269,1,1,1
